"","ROI95lo","ROIavg","ROI95hi","fractaken","badProb","interest"
"248"," 0.06948657"," 0.0721779","0.074869","6.7739e-02","0.035","0.110"
"250","-0.16597327"," 0.1002653","0.366504","2.5466e-05","0.040","0.255"
"251","-0.16597327"," 0.1002653","0.366504","2.5466e-05","0.040","0.250"
"252","-0.01252604"," 0.0673573","0.147241","1.8554e-04","0.040","0.245"
"253"," 0.00269640"," 0.0668469","0.130997","2.7285e-04","0.040","0.240"
"254"," 0.03298650"," 0.0881924","0.143398","3.3833e-04","0.040","0.235"
"255"," 0.03893287"," 0.0780360","0.117139","6.4392e-04","0.040","0.230"
"256"," 0.03830360"," 0.0741249","0.109946","7.9307e-04","0.040","0.225"
"257"," 0.04641459"," 0.0751931","0.103972","1.2405e-03","0.040","0.220"
"258"," 0.04566908"," 0.0711628","0.096656","1.5643e-03","0.040","0.215"
"259"," 0.05901973"," 0.0802195","0.101419","2.1209e-03","0.040","0.210"
"260"," 0.06903282"," 0.0876410","0.106249","2.6339e-03","0.040","0.205"
"261"," 0.07043540"," 0.0866573","0.102879","3.3869e-03","0.040","0.200"
"262"," 0.06978498"," 0.0834291","0.097073","4.6675e-03","0.040","0.195"
"263"," 0.06861588"," 0.0805295","0.092443","6.0390e-03","0.040","0.190"
"264"," 0.07080450"," 0.0809862","0.091168","7.9853e-03","0.040","0.185"
"265"," 0.06861319"," 0.0774887","0.086364","1.0237e-02","0.040","0.180"
"266"," 0.06828010"," 0.0759960","0.083712","1.3158e-02","0.040","0.175"
"267"," 0.07011516"," 0.0772651","0.084415","1.4857e-02","0.040","0.170"
"268"," 0.07026895"," 0.0769925","0.083716","1.6520e-02","0.040","0.165"
"269"," 0.06998429"," 0.0761413","0.082298","1.9245e-02","0.040","0.160"
"270"," 0.06828646"," 0.0738142","0.079342","2.3156e-02","0.040","0.155"
"271"," 0.06931615"," 0.0743214","0.079327","2.7085e-02","0.040","0.150"
"272"," 0.06787480"," 0.0725812","0.077288","3.0315e-02","0.040","0.145"
"273"," 0.06888071"," 0.0729118","0.076943","3.8442e-02","0.040","0.140"
"274"," 0.06936740"," 0.0730069","0.076646","4.5143e-02","0.040","0.135"
"275"," 0.06843874"," 0.0717479","0.075057","5.2892e-02","0.040","0.130"
"276"," 0.06859255"," 0.0716742","0.074756","5.9033e-02","0.040","0.125"
"277"," 0.06867248"," 0.0714358","0.074199","6.9550e-02","0.040","0.120"
"278"," 0.06912756"," 0.0716750","0.074222","7.8241e-02","0.040","0.115"
"279"," 0.06885773"," 0.0712887","0.073720","8.3917e-02","0.040","0.110"
"281","-0.16597327"," 0.1002653","0.366504","2.5466e-05","0.045","0.255"
"282","-0.16597327"," 0.1002653","0.366504","2.5466e-05","0.045","0.250"
"283"," 0.00888685"," 0.0833933","0.157900","2.0373e-04","0.045","0.245"
"284"," 0.02198725"," 0.0820722","0.142157","2.9831e-04","0.045","0.240"
"285"," 0.04985142"," 0.0994006","0.148950","3.9290e-04","0.045","0.235"
"286"," 0.05370803"," 0.0893276","0.124947","7.3123e-04","0.045","0.230"
"287"," 0.05412488"," 0.0865061","0.118887","9.0949e-04","0.045","0.225"
"288"," 0.04888074"," 0.0759771","0.103073","1.4079e-03","0.045","0.220"
"289"," 0.04144869"," 0.0657290","0.090009","1.7935e-03","0.045","0.215"
"290"," 0.05569919"," 0.0757991","0.095899","2.4302e-03","0.045","0.210"
"291"," 0.06532231"," 0.0830003","0.100678","3.0159e-03","0.045","0.205"
"292"," 0.06880102"," 0.0841785","0.099556","3.8417e-03","0.045","0.200"
"293"," 0.07021491"," 0.0830524","0.095890","5.3187e-03","0.045","0.195"
"294"," 0.06991426"," 0.0811016","0.092289","6.8866e-03","0.045","0.190"
"295"," 0.07131659"," 0.0809203","0.090524","9.0658e-03","0.045","0.185"
"296"," 0.07000426"," 0.0783448","0.086685","1.1627e-02","0.045","0.180"
"297"," 0.06941359"," 0.0766684","0.083923","1.4952e-02","0.045","0.175"
"298"," 0.07162076"," 0.0783283","0.085036","1.6891e-02","0.045","0.170"
"299"," 0.07135912"," 0.0776694","0.083980","1.8790e-02","0.045","0.165"
"300"," 0.07142257"," 0.0771932","0.082964","2.1860e-02","0.045","0.160"
"301"," 0.06982676"," 0.0749971","0.080167","2.6372e-02","0.045","0.155"
"302"," 0.07067767"," 0.0753605","0.080043","3.0821e-02","0.045","0.150"
"303"," 0.06950663"," 0.0739055","0.078304","3.4437e-02","0.045","0.145"
"304"," 0.07053062"," 0.0742992","0.078068","4.3612e-02","0.045","0.140"
"305"," 0.07079047"," 0.0741947","0.077599","5.1222e-02","0.045","0.135"
"306"," 0.06947112"," 0.0725789","0.075687","5.9775e-02","0.045","0.130"
"307"," 0.06948563"," 0.0723800","0.075274","6.6716e-02","0.045","0.125"
"308"," 0.06940628"," 0.0720062","0.074606","7.8492e-02","0.045","0.120"
"309"," 0.06976385"," 0.0721616","0.074559","8.8268e-02","0.045","0.115"
"310"," 0.06964228"," 0.0719285","0.074215","9.4616e-02","0.045","0.110"
"312","-0.21624288"," 0.0311504","0.278544","3.2742e-05","0.050","0.255"
"313","-0.21624288"," 0.0311504","0.278544","3.2742e-05","0.050","0.250"
"314","-0.02010791"," 0.0536635","0.127435","2.3283e-04","0.050","0.245"
"315","-0.01156269"," 0.0473216","0.106206","3.4197e-04","0.050","0.240"
"316"," 0.02124148"," 0.0697966","0.118352","4.6202e-04","0.050","0.235"
"317"," 0.04933097"," 0.0826848","0.116039","8.7311e-04","0.050","0.230"
"318"," 0.04878219"," 0.0787756","0.108769","1.0914e-03","0.050","0.225"
"319"," 0.04905364"," 0.0739293","0.098805","1.6953e-03","0.050","0.220"
"320"," 0.04412219"," 0.0663495","0.088577","2.1428e-03","0.050","0.215"
"321"," 0.05739797"," 0.0757607","0.094123","2.9213e-03","0.050","0.210"
"322"," 0.06738717"," 0.0835161","0.099645","3.6343e-03","0.050","0.205"
"323"," 0.07260754"," 0.0866182","0.100629","4.5984e-03","0.050","0.200"
"324"," 0.07360190"," 0.0852997","0.096998","6.3446e-03","0.050","0.195"
"325"," 0.07389377"," 0.0840440","0.094194","8.2145e-03","0.050","0.190"
"326"," 0.07426153"," 0.0829869","0.091712","1.0823e-02","0.050","0.185"
"327"," 0.07319668"," 0.0807885","0.088380","1.3828e-02","0.050","0.180"
"328"," 0.07186376"," 0.0784984","0.085133","1.7684e-02","0.050","0.175"
"329"," 0.07363868"," 0.0797962","0.085954","1.9914e-02","0.050","0.170"
"330"," 0.07280378"," 0.0786040","0.084404","2.2130e-02","0.050","0.165"
"331"," 0.07250197"," 0.0777944","0.083087","2.5851e-02","0.050","0.160"
"332"," 0.07074268"," 0.0754816","0.080221","3.1272e-02","0.050","0.155"
"333"," 0.07115105"," 0.0754510","0.079751","3.6569e-02","0.050","0.150"
"334"," 0.06968378"," 0.0737265","0.077769","4.0792e-02","0.050","0.145"
"335"," 0.07095498"," 0.0744230","0.077891","5.1492e-02","0.050","0.140"
"336"," 0.07123987"," 0.0743665","0.077493","6.0572e-02","0.050","0.135"
"337"," 0.06963862"," 0.0724998","0.075361","7.0576e-02","0.050","0.130"
"338"," 0.06966216"," 0.0723278","0.074993","7.8685e-02","0.050","0.125"
"339"," 0.06950470"," 0.0719018","0.074299","9.2378e-02","0.050","0.120"
"340"," 0.06994339"," 0.0721541","0.074365","1.0371e-01","0.050","0.115"
"341"," 0.06960444"," 0.0717158","0.073827","1.1110e-01","0.050","0.110"
"343","-0.21624288"," 0.0311504","0.278544","3.2742e-05","0.055","0.255"
"344","-0.21624288"," 0.0311504","0.278544","3.2742e-05","0.055","0.250"
"345","-0.02511787"," 0.0460706","0.117259","2.5102e-04","0.055","0.245"
"346","-0.01127663"," 0.0448781","0.101033","3.7107e-04","0.055","0.240"
"347"," 0.02522925"," 0.0708559","0.116483","5.0931e-04","0.055","0.235"
"348"," 0.05378508"," 0.0853910","0.116997","9.6042e-04","0.055","0.230"
"349"," 0.05074855"," 0.0791926","0.107637","1.2078e-03","0.055","0.225"
"350"," 0.05151266"," 0.0749515","0.098390","1.8845e-03","0.055","0.220"
"351"," 0.04592169"," 0.0669348","0.087948","2.3756e-03","0.055","0.215"
"352"," 0.05581012"," 0.0733594","0.090909","3.2232e-03","0.055","0.210"
"353"," 0.06700213"," 0.0823708","0.097739","4.0054e-03","0.055","0.205"
"354"," 0.07076761"," 0.0841775","0.097587","5.0749e-03","0.055","0.200"
"355"," 0.07202806"," 0.0832292","0.094430","6.9812e-03","0.055","0.195"
"356"," 0.07302864"," 0.0826919","0.092355","9.0985e-03","0.055","0.190"
"357"," 0.07248076"," 0.0808242","0.089168","1.1980e-02","0.055","0.185"
"358"," 0.07148689"," 0.0787591","0.086031","1.5294e-02","0.055","0.180"
"359"," 0.06890911"," 0.0752883","0.081668","1.9554e-02","0.055","0.175"
