"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"253"," 0.06580","0.0676","4.81e-02","25552","0.0850","0.090","0.140"
"255"," 0.05500","0.0646","3.06e-03"," 1626","0.0875","0.135","0.140"
"256"," 0.06000","0.0668","5.73e-03"," 3044","0.0875","0.130","0.140"
"257"," 0.06720","0.0719","1.07e-02"," 5675","0.0875","0.125","0.140"
"258"," 0.06870","0.0728","1.36e-02"," 7208","0.0875","0.120","0.140"
"259"," 0.06880","0.0722","1.88e-02"," 9960","0.0875","0.115","0.140"
"260"," 0.06830","0.0713","2.35e-02","12498","0.0875","0.110","0.140"
"261"," 0.06900","0.0715","3.12e-02","16564","0.0875","0.105","0.140"
"262"," 0.06880","0.0712","3.40e-02","18033","0.0875","0.100","0.140"
"263"," 0.06720","0.0693","4.12e-02","21881","0.0875","0.095","0.140"
"264"," 0.06570","0.0675","5.24e-02","27843","0.0875","0.090","0.140"
"266"," 0.05290","0.0622","3.37e-03"," 1787","0.0900","0.135","0.140"
"267"," 0.05870","0.0652","6.28e-03"," 3333","0.0900","0.130","0.140"
"268"," 0.06550","0.0700","1.17e-02"," 6202","0.0900","0.125","0.140"
"269"," 0.06710","0.0710","1.49e-02"," 7897","0.0900","0.120","0.140"
"270"," 0.06740","0.0707","2.06e-02","10923","0.0900","0.115","0.140"
"271"," 0.06710","0.0700","2.58e-02","13707","0.0900","0.110","0.140"
"272"," 0.06800","0.0704","3.41e-02","18130","0.0900","0.105","0.140"
"273"," 0.06780","0.0701","3.71e-02","19707","0.0900","0.100","0.140"
"274"," 0.06630","0.0683","4.49e-02","23854","0.0900","0.095","0.140"
"275"," 0.06480","0.0666","5.70e-02","30275","0.0900","0.090","0.140"
"277"," 0.05360","0.0624","3.66e-03"," 1945","0.0925","0.135","0.140"
"278"," 0.05900","0.0652","6.83e-03"," 3628","0.0925","0.130","0.140"
"279"," 0.06500","0.0694","1.27e-02"," 6747","0.0925","0.125","0.140"
"280"," 0.06680","0.0706","1.62e-02"," 8594","0.0925","0.120","0.140"
"281"," 0.06740","0.0706","2.24e-02","11889","0.0925","0.115","0.140"
"282"," 0.06690","0.0697","2.81e-02","14913","0.0925","0.110","0.140"
"283"," 0.06740","0.0697","3.71e-02","19702","0.0925","0.105","0.140"
"284"," 0.06730","0.0694","4.03e-02","21396","0.0925","0.100","0.140"
"285"," 0.06570","0.0677","4.87e-02","25867","0.0925","0.095","0.140"
"286"," 0.06430","0.0660","6.17e-02","32747","0.0925","0.090","0.140"
"288"," 0.05110","0.0596","4.03e-03"," 2142","0.0950","0.135","0.140"
"289"," 0.05700","0.0630","7.49e-03"," 3977","0.0950","0.130","0.140"
"290"," 0.06330","0.0675","1.39e-02"," 7383","0.0950","0.125","0.140"
"291"," 0.06530","0.0689","1.77e-02"," 9382","0.0950","0.120","0.140"
"292"," 0.06630","0.0693","2.44e-02","12971","0.0950","0.115","0.140"
"293"," 0.06600","0.0687","3.05e-02","16213","0.0950","0.110","0.140"
"294"," 0.06670","0.0689","4.03e-02","21382","0.0950","0.105","0.140"
"295"," 0.06660","0.0687","4.37e-02","23184","0.0950","0.100","0.140"
"296"," 0.06510","0.0670","5.27e-02","27971","0.0950","0.095","0.140"
"297"," 0.06370","0.0653","6.66e-02","35368","0.0950","0.090","0.140"
"299"," 0.05080","0.0590","4.33e-03"," 2298","0.0975","0.135","0.140"
"300"," 0.05700","0.0628","8.08e-03"," 4289","0.0975","0.130","0.140"
"301"," 0.06340","0.0675","1.50e-02"," 7972","0.0975","0.125","0.140"
"302"," 0.06540","0.0689","1.91e-02","10149","0.0975","0.120","0.140"
"303"," 0.06630","0.0692","2.64e-02","14029","0.0975","0.115","0.140"
"304"," 0.06590","0.0685","3.30e-02","17531","0.0975","0.110","0.140"
"305"," 0.06610","0.0682","4.35e-02","23100","0.0975","0.105","0.140"
"306"," 0.06610","0.0682","4.71e-02","25017","0.0975","0.100","0.140"
"307"," 0.06470","0.0665","5.68e-02","30147","0.0975","0.095","0.140"
"308"," 0.06340","0.0650","7.17e-02","38053","0.0975","0.090","0.140"
"310"," 0.05120","0.0590","4.68e-03"," 2487","0.1000","0.135","0.140"
"311"," 0.05680","0.0623","8.76e-03"," 4650","0.1000","0.130","0.140"
"312"," 0.06270","0.0666","1.62e-02"," 8624","0.1000","0.125","0.140"
"313"," 0.06510","0.0684","2.07e-02","10981","0.1000","0.120","0.140"
"314"," 0.06590","0.0687","2.85e-02","15134","0.1000","0.115","0.140"
"315"," 0.06560","0.0681","3.56e-02","18892","0.1000","0.110","0.140"
"316"," 0.06590","0.0680","4.68e-02","24843","0.1000","0.105","0.140"
"317"," 0.06590","0.0679","5.07e-02","26894","0.1000","0.100","0.140"
"318"," 0.06440","0.0662","6.10e-02","32385","0.1000","0.095","0.140"
"319"," 0.06310","0.0646","7.68e-02","40791","0.1000","0.090","0.140"
"321"," 0.05110","0.0587","5.06e-03"," 2688","0.1025","0.135","0.140"
"322"," 0.05790","0.0633","9.43e-03"," 5009","0.1025","0.130","0.140"
"323"," 0.06300","0.0667","1.75e-02"," 9289","0.1025","0.125","0.140"
"324"," 0.06470","0.0679","2.23e-02","11824","0.1025","0.120","0.140"
"325"," 0.06510","0.0678","3.07e-02","16315","0.1025","0.115","0.140"
"326"," 0.06470","0.0671","3.83e-02","20329","0.1025","0.110","0.140"
"327"," 0.06500","0.0670","5.03e-02","26710","0.1025","0.105","0.140"
"328"," 0.06510","0.0670","5.44e-02","28897","0.1025","0.100","0.140"
"329"," 0.06360","0.0653","6.54e-02","34720","0.1025","0.095","0.140"
"330"," 0.06240","0.0639","8.22e-02","43626","0.1025","0.090","0.140"
"332"," 0.05220","0.0595","5.47e-03"," 2903","0.1050","0.135","0.140"
"333"," 0.05800","0.0632","1.02e-02"," 5408","0.1050","0.130","0.140"
"334"," 0.06190","0.0655","1.89e-02","10029","0.1050","0.125","0.140"
"335"," 0.06350","0.0667","2.40e-02","12746","0.1050","0.120","0.140"
