"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"244"," 0.06140","0.0698","3.12e-03"," 2040","0.0850","0.135","0.140"
"245"," 0.06660","0.0723","6.21e-03"," 4056","0.0850","0.130","0.140"
"246"," 0.06940","0.0735","1.17e-02"," 7652","0.0850","0.125","0.140"
"247"," 0.06850","0.0722","1.34e-02"," 8773","0.0850","0.120","0.140"
"248"," 0.06860","0.0718","1.68e-02","10985","0.0850","0.115","0.140"
"249"," 0.07080","0.0733","2.74e-02","17864","0.0850","0.110","0.140"
"250"," 0.07020","0.0724","3.32e-02","21687","0.0850","0.105","0.140"
"251"," 0.07030","0.0723","3.73e-02","24383","0.0850","0.100","0.140"
"252"," 0.06880","0.0706","4.28e-02","27948","0.0850","0.095","0.140"
"253"," 0.06730","0.0690","5.09e-02","33211","0.0850","0.090","0.140"
"255"," 0.05800","0.0661","3.44e-03"," 2248","0.0875","0.135","0.140"
"256"," 0.06490","0.0705","6.83e-03"," 4457","0.0875","0.130","0.140"
"257"," 0.06820","0.0720","1.29e-02"," 8401","0.0875","0.125","0.140"
"258"," 0.06750","0.0711","1.48e-02"," 9641","0.0875","0.120","0.140"
"259"," 0.06790","0.0710","1.85e-02","12067","0.0875","0.115","0.140"
"260"," 0.07010","0.0724","3.00e-02","19568","0.0875","0.110","0.140"
"261"," 0.06950","0.0716","3.63e-02","23712","0.0875","0.105","0.140"
"262"," 0.06960","0.0715","4.08e-02","26638","0.0875","0.100","0.140"
"263"," 0.06790","0.0697","4.67e-02","30509","0.0875","0.095","0.140"
"264"," 0.06650","0.0681","5.54e-02","36189","0.0875","0.090","0.140"
"266"," 0.05930","0.0671","3.76e-03"," 2454","0.0900","0.135","0.140"
"267"," 0.06600","0.0713","7.47e-03"," 4880","0.0900","0.130","0.140"
"268"," 0.06870","0.0724","1.41e-02"," 9195","0.0900","0.125","0.140"
"269"," 0.06810","0.0715","1.62e-02","10579","0.0900","0.120","0.140"
"270"," 0.06810","0.0711","2.03e-02","13231","0.0900","0.115","0.140"
"271"," 0.06990","0.0722","3.27e-02","21324","0.0900","0.110","0.140"
"272"," 0.06930","0.0713","3.95e-02","25808","0.0900","0.105","0.140"
"273"," 0.06940","0.0712","4.43e-02","28945","0.0900","0.100","0.140"
"274"," 0.06770","0.0694","5.07e-02","33136","0.0900","0.095","0.140"
"275"," 0.06630","0.0678","6.01e-02","39246","0.0900","0.090","0.140"
"277"," 0.05940","0.0668","4.09e-03"," 2669","0.0925","0.135","0.140"
"278"," 0.06530","0.0704","8.17e-03"," 5335","0.0925","0.130","0.140"
"279"," 0.06820","0.0718","1.54e-02","10046","0.0925","0.125","0.140"
