"","ROI95lo","ROIavg","fractaken","numtaken","badProb","interest","intceil"
"233"," 0.06310"," 0.07330","2.51e-03"," 1333","0.0825","0.135","0.140"
"234"," 0.06330"," 0.07070","4.71e-03"," 2499","0.0825","0.130","0.140"
"235"," 0.06840"," 0.07350","8.91e-03"," 4729","0.0825","0.125","0.140"
"236"," 0.07000"," 0.07440","1.13e-02"," 6016","0.0825","0.120","0.140"
"237"," 0.07030"," 0.07400","1.56e-02"," 8289","0.0825","0.115","0.140"
"238"," 0.07060"," 0.07380","1.95e-02","10365","0.0825","0.110","0.140"
"239"," 0.07000"," 0.07270","2.59e-02","13775","0.0825","0.105","0.140"
"240"," 0.06990"," 0.07250","2.83e-02","15025","0.0825","0.100","0.140"
"241"," 0.06790"," 0.07020","3.45e-02","18295","0.0825","0.095","0.140"
"242"," 0.06640"," 0.06840","4.39e-02","23293","0.0825","0.090","0.140"
"244"," 0.06150"," 0.07130","2.78e-03"," 1474","0.0850","0.135","0.140"
"245"," 0.06330"," 0.07030","5.17e-03"," 2743","0.0850","0.130","0.140"
"246"," 0.06670"," 0.07170","9.82e-03"," 5214","0.0850","0.125","0.140"
"247"," 0.06830"," 0.07250","1.25e-02"," 6638","0.0850","0.120","0.140"
"248"," 0.06910"," 0.07260","1.72e-02"," 9155","0.0850","0.115","0.140"
"249"," 0.06940"," 0.07250","2.16e-02","11459","0.0850","0.110","0.140"
"250"," 0.06910"," 0.07170","2.86e-02","15185","0.0850","0.105","0.140"
"251"," 0.06900"," 0.07140","3.12e-02","16562","0.0850","0.100","0.140"
"252"," 0.06730"," 0.06950","3.79e-02","20115","0.0850","0.095","0.140"
"253"," 0.06580"," 0.06770","4.82e-02","25570","0.0850","0.090","0.140"
"255"," 0.06150"," 0.07090","3.04e-03"," 1615","0.0875","0.135","0.140"
"256"," 0.06380"," 0.07050","5.63e-03"," 2987","0.0875","0.130","0.140"
"257"," 0.06700"," 0.07170","1.07e-02"," 5655","0.0875","0.125","0.140"
"258"," 0.06820"," 0.07230","1.36e-02"," 7209","0.0875","0.120","0.140"
"259"," 0.06880"," 0.07220","1.88e-02"," 9976","0.0875","0.115","0.140"
"260"," 0.06900"," 0.07200","2.35e-02","12495","0.0875","0.110","0.140"
"261"," 0.06840"," 0.07090","3.12e-02","16574","0.0875","0.105","0.140"
"262"," 0.06820"," 0.07050","3.40e-02","18064","0.0875","0.100","0.140"
"263"," 0.06650"," 0.06860","4.13e-02","21911","0.0875","0.095","0.140"
"264"," 0.06510"," 0.06690","5.24e-02","27834","0.0875","0.090","0.140"
"266"," 0.05890"," 0.06800","3.30e-03"," 1753","0.0900","0.135","0.140"
"267"," 0.06290"," 0.06940","6.11e-03"," 3243","0.0900","0.130","0.140"
"268"," 0.06700"," 0.07160","1.16e-02"," 6151","0.0900","0.125","0.140"
"269"," 0.06770"," 0.07170","1.48e-02"," 7835","0.0900","0.120","0.140"
"270"," 0.06870"," 0.07190","2.04e-02","10842","0.0900","0.115","0.140"
"271"," 0.06860"," 0.07140","2.56e-02","13601","0.0900","0.110","0.140"
"272"," 0.06790"," 0.07030","3.40e-02","18056","0.0900","0.105","0.140"
"273"," 0.06770"," 0.07000","3.70e-02","19646","0.0900","0.100","0.140"
"274"," 0.06620"," 0.06830","4.48e-02","23770","0.0900","0.095","0.140"
"275"," 0.06490"," 0.06670","5.68e-02","30143","0.0900","0.090","0.140"
"277"," 0.05690"," 0.06580","3.55e-03"," 1887","0.0925","0.135","0.140"
"278"," 0.06080"," 0.06710","6.61e-03"," 3511","0.0925","0.130","0.140"
"279"," 0.06630"," 0.07070","1.25e-02"," 6652","0.0925","0.125","0.140"
